"COD_EMPRESA","NUM_PEDIDO","NUM_SEQUENCIA","COD_ITEM","QTD_PECAS_SOLIC","PRE_UNIT","PCT_DESC_ADIC","PCT_DESC_BRUTO","PRZ_ENTREGA","VAL_SEGURO_UNIT","VAL_FRETE_UNIT"
"01",14574,15,"0302082004013  ",5,190,0,0,[2014/10/20:12:00:00 AM],0,0
"01",14574,16,"0302082004014  ",5,190,0,0,[2014/10/20:12:00:00 AM],0,0
"01",19827,5,"0501020103001  ",20,33,0,0,[2016/09/06:12:00:00 AM],0,0
"01",14574,17,"0302082004015  ",5,180,0,0,[2014/10/20:12:00:00 AM],0,0
"01",14574,18,"0302082004020  ",1,550,0,0,[2014/10/20:12:00:00 AM],0,0
"01",14574,19,"0302082004025  ",1,255,0,0,[2014/11/20:12:00:00 AM],0,0
"01",14574,20,"0302082004012  ",2,499,0,0,[2014/11/20:12:00:00 AM],0,0
"01",14574,21,"0302082004013  ",5,190,0,0,[2014/11/20:12:00:00 AM],0,0
"01",14574,22,"0302082004014  ",5,190,0,0,[2014/11/20:12:00:00 AM],0,0
"01",14574,23,"0302082004015  ",5,180,0,0,[2014/11/20:12:00:00 AM],0,0
"01",14574,24,"0302082004020  ",1,550,0,0,[2014/11/20:12:00:00 AM],0,0
"01",14574,25,"0302082004025  ",1,255,0,0,[2014/12/20:12:00:00 AM],0,0
"01",14574,26,"0302082004012  ",2,499,0,0,[2014/12/20:12:00:00 AM],0,0
"01",14574,27,"0302082004013  ",5,190,0,0,[2014/12/20:12:00:00 AM],0,0
"01",14574,28,"0302082004014  ",5,190,0,0,[2014/12/20:12:00:00 AM],0,0
"01",14574,29,"0302082004015  ",5,180,0,0,[2014/12/20:12:00:00 AM],0,0
"01",14574,30,"0302082004020  ",1,550,0,0,[2014/12/20:12:00:00 AM],0,0
"01",14574,31,"0302082004025  ",1,255,0,0,[2015/01/20:12:00:00 AM],0,0
"01",14574,32,"0302082004012  ",2,499,0,0,[2015/01/20:12:00:00 AM],0,0
"01",20733,2,"0301030101014  ",1,315,0,0,[2017/04/20:12:00:00 AM],0,0
"01",19060,1,"0301020101158  ",4,1,0,0,[2016/05/19:12:00:00 AM],0,0
"01",13801,2,"0302020101002  ",12,27.02,0,0,[2014/05/16:12:00:00 AM],0,0
"01",19246,1,"3311010201008  ",1,15150,0,0,[2016/06/08:12:00:00 AM],0,0
"01",18630,1,"3305010201001  ",1,5700,0,0,[2016/03/07:12:00:00 AM],0,0
"01",16800,2,"0304010101024  ",200,15,0,0,[2015/06/12:12:00:00 AM],0,0
"01",21686,1,"0302050401002  ",2,2380,0,0,[2017/07/05:12:00:00 AM],0,0
"01",19288,2,"3305010201003  ",1,6270,0,0,[2016/06/15:12:00:00 AM],0,0
"01",13801,1,"0302010102004  ",6,61.95,0,0,[2014/04/17:12:00:00 AM],0,0
"01",18436,1,"0302030902003  ",1,3250,0,0,[2016/01/28:12:00:00 AM],0,0
"01",18436,2,"0302030902004  ",1,4025,0,0,[2016/01/28:12:00:00 AM],0,0
"01",17862,1,"3201010501001  ",100,18.63,0,0,[2015/11/10:12:00:00 AM],0,0
"01",16800,1,"0304010101019  ",200,15,0,0,[2015/06/12:12:00:00 AM],0,0
"01",21160,1,"0302010101042  ",32,142,0,0,[2017/04/11:12:00:00 AM],0,0
"01",19246,2,"3311010201009  ",1,15100,0,0,[2016/06/08:12:00:00 AM],0,0
"01",19246,3,"3201010101001  ",1,8885,0,0,[2016/07/30:12:00:00 AM],0,0
"01",18630,2,"3305010201006  ",1,380,0,0,[2016/03/07:12:00:00 AM],0,0
"01",20666,1,"3305010204001  ",1,13940,0,0,[2017/01/25:12:00:00 AM],0,0
"01",19246,4,"3311010104001  ",1,8380,0,0,[2016/07/30:12:00:00 AM],0,0
"01",19246,5,"3201010101001  ",1,11410,0,0,[2016/07/30:12:00:00 AM],0,0
"01",18630,3,"3305010201007  ",1,550,0,0,[2016/03/07:12:00:00 AM],0,0
"01",19246,6,"3311010102001  ",1,6210,0,0,[2016/07/30:12:00:00 AM],0,0
"01",18686,1,"0202010204001  ",1,81230,0,0,[2016/03/17:12:00:00 AM],0,0
"01",19246,7,"3201010101001  ",1,8438,0,0,[2016/07/30:12:00:00 AM],0,0
"01",20508,1,"0301020204043  ",1,7632,0,0,[2016/01/06:12:00:00 AM],0,0
"01",19288,3,"0302030902003  ",1,2620,0,0,[2016/06/15:12:00:00 AM],0,0
